"国家","出度","入度","加权出度","加权入度","介数中心性","接近中心性","特征向量中心性"
"71",4,4,2553578.298,2553578.298,0,0.958544527042433,3.19328098357342e-10
"21",1,1,19950,19950,0,0.973030933864371,2.2231793424301e-07
"68",1,1,13863,13863,0,0.980154217475706,1.54485890847662e-07
"126",1,1,32110,32110,0,0.959106329855986,3.57826008448274e-07
"146",8,8,140723010.592,140723010.592,0.0114942528735632,0.992977363431674,0.00292139106254401
"153",5,5,526641.966,526641.966,0.0649790711580626,0.967508919272125,7.13077467663881e-06
"92",26,26,115986864.113,115986864.113,0.0949438575509933,0.995713657688606,1.69863874259993e-06
"43",2,2,65016.1,65016.1,0.0156800212610458,0.95857537391058,3.76017008332255e-07
"150",17,17,15170438.212,15170438.212,0.0237193541957345,0.996048959041768,5.23534912333249e-05
"26",17,17,91582045.658,91582045.658,0,0.987483304922143,1.00536210441832e-05
"84",11,11,8103921.503,8103921.503,0,0.995033917639418,2.45867874149566e-06
"48",1,1,1888.267,1888.267,0,0.993922848029534,7.70617963640684e-13
"137",24,24,115487355.197,115487355.197,0.19181449737559,0.998097414096117,0.000496282259613011
"11",12,12,602817176.26,602817176.26,0.0594644874094745,0.998148408955847,0.0104663316886899
"109",1,1,6354.16,6354.16,0,0.92005089380192,8.91929261321838e-13
"133",27,27,2149608064.837,2149608064.837,0.0766062055677364,0.997402314386941,0.052473640438508
"101",1,1,68790.225,68790.225,0,0.920544137566282,9.96704550425853e-10
"88",10,10,1002538.781,1002538.781,0.0152149358846588,0.996873286810248,7.34085564537533e-06
"95",1,1,11169.16,11169.16,0,0.985534508967669,2.01689917231623e-11
"54",1,1,1350,1350,0,0.958520210626286,7.63293652235461e-10
"131",2,2,59801.699,59801.699,0,0.931894293962973,2.8986078711473e-08
"116",13,13,7104721.922,7104721.922,0,0.991127816536362,1.58038955191682e-06
"49",17,17,9554247.496,9554247.496,0.0940801275662747,0.99765075941612,1.27570473627747e-06
"40",2,2,68969,68969,0,0.958520210626286,6.22403270186583e-08
"120",1,1,3875125,3875125,0,0.17336467724032,5.85731857527017e-12
"162",15,15,1781190511.566,1781190511.566,0.106438110424557,0.997854928677022,0.0436151427423848
"132",1,1,1077655.16,1077655.16,0,0.430181986778255,4.42715720409467e-07
"53",13,13,26346272.029,26346272.029,0.0229220649790712,0.954830088381181,3.31738607894272e-06
"113",3,3,4003196.391,4003196.391,0.0114942528735632,0.933049695392134,4.40148160673944e-05
"148",4,4,245609425,245609425,0,0.954736042985341,0.00456744112219918
"12",18,18,1681326804.615,1681326804.615,0.0229220649790712,0.995456589723958,0.0311410461467393
"52",4,4,3256227.21,3256227.21,0,0.857632152944268,1.49107442618512e-07
"28",1,1,14182.76,14182.76,0,0.977824999253397,7.00087823608379e-09
"57",8,8,11513340.676,11513340.676,0.0115606936416185,0.926698485320861,4.80796508790553e-06
"64",42,42,1343020714.167,1343020714.167,0.0228556242110159,0.979421228250602,0.000967975944678213
"144",12,12,38769058.992,38769058.992,0.0114942528735632,0.996743857841777,0.000481079681928417
"96",30,30,407275607.041,407275607.041,0.0423892100192678,0.996695755538146,0.00788086332800452
"62",10,10,5309361.038,5309361.038,0,0.989581207186445,2.59824183321375e-06
"67",10,10,453016022.202,453016022.202,0,0.997384480185302,0.010650078265139
"141",80,80,24159923638.55,24159923638.55,0.20025247491861,0.996773177887555,0.381698662546203
"89",2,2,11059648.06,11059648.06,0,0.525101117777593,1.65842921023696e-11
"6",2,2,47866796,47866796,0,0.0372262642042421,0.000870425028417381
"173",13,13,1045043974.505,1045043974.505,0.0031227160985981,0.984652699428832,0.0184089813291163
"35",1,1,1408,1408,0,0.991276800066272,1.20089022903869e-10
"149",11,11,10888943.501,10888943.501,0.0229220649790712,0.992257543803681,9.12851476997981e-09
"98",3,3,61332146.971,61332146.971,0,0.144833526508429,7.3729454605508e-07
